"ID",Arquitectura,Estado_Modelo,Tipo_Input,Texto_input,Texto_Input,Texto_Output,FIDELIDAD,CALIDAD,DOMINIO,ALUCINACION,Notas_Cualitativas
1,MBart,Base,Texto Origen,"""算不尽仙友，你是智道蛊仙更当明白眼前的局势""","Friend Suan Bu Jin, as a wisdom path Gu Immortal, you should be even more aware of the current situation",It's not enough. You're a wise man who better understands the situation.,1,0,0,0,sintacticamente sigue el hilo
1,MBart,Base,Texto Origen,"""立刻这上百药草形成的药液，骤然落下，在与这血湖碰触的瞬间，如同相互之间有强烈的排斥，直接爆发，燃烧成为黑色的火焰，覆盖整个血湖""","As they flew through the air, they transformed into a medicinal liquid. When that entered the blood lake, a powerful expulsion force erupted out, and the burning caused a black smoke to rise up and fill the area","Immediately, the hundreds of herbs that formed the medicine dropped suddenly, and in the instant of contact with the lake of blood, as if there were a strong repulsion between them, burst out directly, burning into a black flame, covering the whole lake of blood",3,2,3,0,Semanticamente identico
1,MBart,Base,Texto Origen,"""对那些徒手肉搏者，这些堪比钢铁般坚硬的木刺，将会给他们留下深刻的印象""","To those fighting barehanded, these thorns that were as sturdy as steel would leave a lasting impression on them",These steel-hard wooden sticks will make a deep impression on the athletes,1,0,0,1,"""Atletas"""
1,MBart,Base,Texto Origen,"""古月方想口中喃喃，捂住心口""","Gu Yue Fang Xiang muttered, his hand over his heart","The Ancient moon mutters in their mouths, covering their hearts",1,1,2,0,No identifica el sujeto singular
1,MBart,Base,Texto Origen,"""若是在平地之上，尺许小径又算得了甚么，可是这石梁下临深谷，别说行走，只望一眼也不免胆战心惊""","If this stone bridge were laid on the ground, it would act just like a narrow alley, nothing to be afraid of, but under the stone bridge was a deep canyon. Just looking at it would cause the heart to tremble with fear, let alone walk across it","If it were on the plain, what could be counted as a short distance, but if the stone beam came down to the valley, let it not be said that it should go, and let it not be afraid of a glance",1,0,0,0,"Gramaticalmente parece bien, pero no tiene sentido"
1,MBart,Base,Texto Origen,"""虽然我并非黄金血脉。 参与王庭争霸，就是为了混迹到八十八角真阳楼中捞取好处""","Although I am not of the Huang Jin bloodline, I participated in the fight for Imperial Court to get some benefits from Eighty-Eight True Yang Building","Although I am not the golden blood of the kingdom, I joined the kingdom's rivalry in order to gain advantage by wandering through the eighty-eighth corner of the main square",2,1,1,0,"Las entidades no las pilla bien, pero en general se entiende"
1,MBart,Base,Texto Origen,"""反倒是北岸，此刻居然为上官天佑欢呼，这欢呼声让上官天佑心里别扭，他知道北岸不是因为自己，而是因为白小纯才对自己发出欢呼，也就是说，就算与白小纯对战的是一头猪，北岸也会为这头猪喝彩，这么一想，上官天佑心底对白小纯，更为不悦""","The north bank, on the other hand, actually did start to cheer for Shangguan Tianyou. In response, Shangguan Tianyou frowned, aware that they weren't really cheering for him, but against Bai Xiaochun. The north bank would cheer for any oppon ent of Bai Xiaochun’s, even if it were a pig. The thought left Shangguan Tianyou even more displeased than before"," On the other hand, on the north shore, at this moment, the cheer of the High Commissioner, the cheer that lets the High Commissioner's heart not twist, he knew that the north shore, not because of himself, but because of the white and small pure, that is to say, even if the battle with the white and small pure was a pig, the north shore would also cheer for the pig, thought the High Commissioner, the bottom of the heart to the white and small pure, even more unpleasant",1,0,0,0,"Gramaticalmente parece bien, pero no tiene sentido"
1,MBart,Base,Texto Origen,"""在仙元方面，巨阳仙尊应当占据优势。 在炼蛊方面，是方源占据优势""","In terms of immortal essence, Giant Sun Immortal Venerable should have an advantage, in terms of Gu refinement, Fang Yuan has the advantage"," On the side of the yuan, the yuan should dominate the yuan. On the side of the yuan, the yuan should dominate the yuan",1,0,0,0,"Sigue la sintactica, pero no tiene sentido al leerlo"
1,MBart,Base,Texto Origen,"""那么对不起得很，两柄剑都到了做哥哥的家里啦""","Then I am really very sorry, for both daggers would belong to my family then","So I'm sorry, but both swords have come to my brother's house",2,1,1,0,
1,MBart,Base,Texto Origen,"""方源，你怎么也想不到，会有今天吧""","Fang Yuan, you had never in your wildest imagination, expect this day to occur right","Fangyuan, you can't imagine, there'll be today",2,1,0,0,Tecnicamente correcto
