ID,Arquitectura,Estado_Modelo,Tipo_Input,texto_raw,Texto_Input,Texto_Output,FIDELIDAD,CALIDAD,DOMINIO,ALUCINACION,Notas_Cualitativas,Gemini_Fidelidad,Gemini_Calidad,Gemini_Dominio,Gemini_Alucinacion,OpenAI_Fidelidad,OpenAI_Calidad,OpenAI_Dominio,OpenAI_Alucinacion,Claude_Fidelidad,Claude_Calidad,Claude_Dominio,Claude_Alucinacion
2,Llama 3,Fine-Tuned,Prompt 1,"""算不尽仙友，你是智道蛊仙更当明白眼前的局势""","Friend Suan Bu Jin, as a wisdom path Gu Immortal, you should be even more aware of the current situation","Friend Suan Bu Jin, you are a wisdom path Gu Immortal, you should understand the situation",3,3,3,0,,3.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,0.0
2,Llama 3,Fine-Tuned,Prompt 1,"""立刻这上百药草形成的药液，骤然落下，在与这血湖碰触的瞬间，如同相互之间有强烈的排斥，直接爆发，燃烧成为黑色的火焰，覆盖整个血湖""","As they flew through the air, they transformed into a medicinal liquid. When that entered the blood lake, a powerful expulsion force erupted out, and the burning caused a black smoke to rise up and fill the area","Immediately, the medicinal liquid formed by the hundred plants poured down into the blood lake. The two liquids seemed to repel each other, and as soon as they touched, they began to burn with black flames that covered the entire lake",3,3,3,0,,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,0.0
2,Llama 3,Fine-Tuned,Prompt 1,"""对那些徒手肉搏者，这些堪比钢铁般坚硬的木刺，将会给他们留下深刻的印象""","To those fighting barehanded, these thorns that were as sturdy as steel would leave a lasting impression on them","For those who fought barehanded, these spikes that were as hard as steel would leave a deep impression on them",3,3,3,0,,3.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,0.0
2,Llama 3,Fine-Tuned,Prompt 1,"""古月方想口中喃喃，捂住心口""","Gu Yue Fang Xiang muttered, his hand over his heart","Gu Yue Fang Xiang muttered, holding his chest",3,2,3,0,,3.0,3.0,3.0,0.0,2.0,3.0,2.0,0.0,3.0,3.0,2.0,0.0
2,Llama 3,Fine-Tuned,Prompt 1,"""若是在平地之上，尺许小径又算得了甚么，可是这石梁下临深谷，别说行走，只望一眼也不免胆战心惊""","If this stone bridge were laid on the ground, it would act just like a narrow alley, nothing to be afraid of, but under the stone bridge was a deep canyon. Just looking at it would cause the heart to tremble with fear, let alone walk across it","If it were on a flat ground, a foot wide path would not be a problem, but this stone bridge was suspended high above a deep valley, not only walking on it was difficult, just looking down would make one heart tremble with fear",3,3,3,0,,3.0,3.0,3.0,0.0,2.0,2.0,2.0,0.0,3.0,3.0,2.0,0.0
2,Llama 3,Fine-Tuned,Prompt 1,"""虽然我并非黄金血脉。 参与王庭争霸，就是为了混迹到八十八角真阳楼中捞取好处""","Although I am not of the Huang Jin bloodline, I participated in the fight for Imperial Court to get some benefits from Eighty-Eight True Yang Building","Even though I am not of Huang Jin bloodline, I am participating in the Imperial Court contest to get into Eighty-Eight True Yang Building and gain benefits",3,2,3,0,,3.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0,2.0,3.0,0.0
2,Llama 3,Fine-Tuned,Prompt 1,"""反倒是北岸，此刻居然为上官天佑欢呼，这欢呼声让上官天佑心里别扭，他知道北岸不是因为自己，而是因为白小纯才对自己发出欢呼，也就是说，就算与白小纯对战的是一头猪，北岸也会为这头猪喝彩，这么一想，上官天佑心底对白小纯，更为不悦""","The north bank, on the other hand, actually did start to cheer for Shangguan Tianyou. In response, Shangguan Tianyou frowned, aware that they weren't really cheering for him, but against Bai Xiaochun. The north bank would cheer for any oppon ent of Bai Xiaochun’s, even if it were a pig. The thought left Shangguan Tianyou even more displeased than before","The north bank disciples were cheering for Shangguan Tianyou, which made him feel a bit awkward. He knew that they weren’t cheering for him, but rather, for Bai Xiaochun. If Bai Xiaochun had been fighting a pig, the north bank disciples would have cheered for the pig. That made Shangguan Tianyou even more displeased with Bai Xiaochun",3,3,3,0,,3.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,0.0
2,Llama 3,Fine-Tuned,Prompt 1,"""在仙元方面，巨阳仙尊应当占据优势。 在炼蛊方面，是方源占据优势""","In terms of immortal essence, Giant Sun Immortal Venerable should have an advantage, in terms of Gu refinement, Fang Yuan has the advantage","In terms of immortal essence, Giant Sun Immortal Venerable should have the advantage, while in terms of Gu refinement, Fang Yuan should have the advantage",3,3,3,0,,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0
2,Llama 3,Fine-Tuned,Prompt 1,"""那么对不起得很，两柄剑都到了做哥哥的家里啦""","Then I am really very sorry, for both daggers would belong to my family then","I am sorry, but the two swords are in my brother house",2,2,2,0,,3.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0
2,Llama 3,Fine-Tuned,Prompt 1,"""方源，你怎么也想不到，会有今天吧""","Fang Yuan, you had never in your wildest imagination, expect this day to occur right","Fang Yuan, you could not have imagined that this day would come",2,3,3,0,,3.0,3.0,2.0,0.0,2.0,3.0,1.0,0.0,3.0,3.0,2.0,0.0
2,Llama 3,Fine-Tuned,Prompt 1,"""提到弟弟丁言。 丁齐满脸悲伤愤怒""","Mentioning his brother, Ding Qi was extremely angry and upset","Mentioning his younger brother Ding Yan, Ding Qi’s face was filled with sadness and anger",3,3,3,0,,3.0,3.0,2.0,0.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,0.0
2,Llama 3,Fine-Tuned,Prompt 1,"""黄蓉道""",Huang Rong said,Huang Rong said,0,0,0,1,Devuelve el prompt,3.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,0.0
