Model,Metric,Prompt,Score
gemma3_12b,sacrebleu,PROMPT 0,10.73
gemma3_12b,sacrebleu,PROMPT 1,1.1
gemma3_12b,sacrebleu,PROMPT 2,0.8
gemma3_12b,sacrebleu,PROMPT 3,9.82
gemma3_12b,sacrebleu,PROMPT 4,7.09
gemma3_12b,chrf2,PROMPT 0,36.9
gemma3_12b,chrf2,PROMPT 1,20.09
gemma3_12b,chrf2,PROMPT 2,18.73
gemma3_12b,chrf2,PROMPT 3,35.53
gemma3_12b,chrf2,PROMPT 4,33.14
gemma3_12b,rougeL_f1,PROMPT 0,39.23
gemma3_12b,rougeL_f1,PROMPT 1,14.76
gemma3_12b,rougeL_f1,PROMPT 2,10.91
gemma3_12b,rougeL_f1,PROMPT 3,38.41
gemma3_12b,rougeL_f1,PROMPT 4,34.27
gemma3_12b,meteor,PROMPT 0,38.45
gemma3_12b,meteor,PROMPT 1,22.26
gemma3_12b,meteor,PROMPT 2,18.93
gemma3_12b,meteor,PROMPT 3,36.74
gemma3_12b,meteor,PROMPT 4,33.86
gemma3_12b,comet,PROMPT 0,72.14
gemma3_12b,comet,PROMPT 1,56.0
gemma3_12b,comet,PROMPT 2,53.7
gemma3_12b,comet,PROMPT 3,69.13
gemma3_12b,comet,PROMPT 4,69.62
gemma3_1b,sacrebleu,PROMPT 0,5.16
gemma3_1b,sacrebleu,PROMPT 1,0.47
gemma3_1b,sacrebleu,PROMPT 2,0.87
gemma3_1b,sacrebleu,PROMPT 3,4.52
gemma3_1b,sacrebleu,PROMPT 4,3.97
gemma3_1b,chrf2,PROMPT 0,25.69
gemma3_1b,chrf2,PROMPT 1,16.78
gemma3_1b,chrf2,PROMPT 2,21.17
gemma3_1b,chrf2,PROMPT 3,22.4
gemma3_1b,chrf2,PROMPT 4,26.25
gemma3_1b,rougeL_f1,PROMPT 0,24.02
gemma3_1b,rougeL_f1,PROMPT 1,12.11
gemma3_1b,rougeL_f1,PROMPT 2,15.03
gemma3_1b,rougeL_f1,PROMPT 3,20.99
gemma3_1b,rougeL_f1,PROMPT 4,24.2
gemma3_1b,meteor,PROMPT 0,22.19
gemma3_1b,meteor,PROMPT 1,14.76
gemma3_1b,meteor,PROMPT 2,17.37
gemma3_1b,meteor,PROMPT 3,19.03
gemma3_1b,meteor,PROMPT 4,22.8
gemma3_1b,comet,PROMPT 0,61.05
gemma3_1b,comet,PROMPT 1,50.39
