"ID",Arquitectura,Estado_Modelo,Tipo_Input,texto_raw,Texto_Input,Texto_Output,FIDELIDAD,CALIDAD,DOMINIO,ALUCINACION,Notas_Cualitativas
1,MBart,Fine-Tuned,Texto Origen,"""算不尽仙友，你是智道蛊仙更当明白眼前的局势""","Friend Suan Bu Jin, as a wisdom path Gu Immortal, you should be even more aware of the current situation","Friend Suan Bu Jin, you are a wisdom path Gu Immortal, you should understand the current situation",3,3,3,0,
1,MBart,Fine-Tuned,Texto Origen,"""立刻这上百药草形成的药液，骤然落下，在与这血湖碰触的瞬间，如同相互之间有强烈的排斥，直接爆发，燃烧成为黑色的火焰，覆盖整个血湖""","As they flew through the air, they transformed into a medicinal liquid. When that entered the blood lake, a powerful expulsion force erupted out, and the burning caused a black smoke to rise up and fill the area","Instantly, the medicinal liquid that had been formed by the medicinal plants began to fall onto the lake of blood, and as they did, it was impossible to prevent them from oppos eding each other. Black flames erupted out, covering the entire lake of blood",3,2,3,0,
1,MBart,Fine-Tuned,Texto Origen,"""对那些徒手肉搏者，这些堪比钢铁般坚硬的木刺，将会给他们留下深刻的印象""","To those fighting barehanded, these thorns that were as sturdy as steel would leave a lasting impression on them","To those barehanded fighters, these steel-like spikes would leave a deep impression on them",3,3,3,0,
1,MBart,Fine-Tuned,Texto Origen,"""古月方想口中喃喃，捂住心口""","Gu Yue Fang Xiang muttered, his hand over his heart","Gu Yue Fang Xiang mumbled, covering his chest",3,2,3,0,
1,MBart,Fine-Tuned,Texto Origen,"""若是在平地之上，尺许小径又算得了甚么，可是这石梁下临深谷，别说行走，只望一眼也不免胆战心惊""","If this stone bridge were laid on the ground, it would act just like a narrow alley, nothing to be afraid of, but under the stone bridge was a deep canyon. Just looking at it would cause the heart to tremble with fear, let alone walk across it","If it was on flat ground, a foot or even a foot would not count as a long journey, but this stone bridge is so narrow that one has to be very careful not to look too far",1,1,1,0,Semanticamente sin mucho serntido
1,MBart,Fine-Tuned,Texto Origen,"""虽然我并非黄金血脉。 参与王庭争霸，就是为了混迹到八十八角真阳楼中捞取好处""","Although I am not of the Huang Jin bloodline, I participated in the fight for Imperial Court to get some benefits from Eighty-Eight True Yang Building","Although I am not of Huang Jin bloodline, participating in the Imperial Court contest is to get into Eighty-Eight True Yang Building and gain benefits",3,3,3,0,
1,MBart,Fine-Tuned,Texto Origen,"""反倒是北岸，此刻居然为上官天佑欢呼，这欢呼声让上官天佑心里别扭，他知道北岸不是因为自己，而是因为白小纯才对自己发出欢呼，也就是说，就算与白小纯对战的是一头猪，北岸也会为这头猪喝彩，这么一想，上官天佑心底对白小纯，更为不悦""","The north bank, on the other hand, actually did start to cheer for Shangguan Tianyou. In response, Shangguan Tianyou frowned, aware that they weren't really cheering for him, but against Bai Xiaochun. The north bank would cheer for any oppon ent of Bai Xiaochun’s, even if it were a pig. The thought left Shangguan Tianyou even more displeased than before","The north bank disciples actually cheered for Shangguan Tianyou, something that caused Shangguan Tianyou’s heart to tremble. He knew that the north bank disciples weren’t cheering for him because of himself, but rather, because of Bai Xiaochun. That meant that even if it were a pig fighting Bai Xiaochun, the north bank disciples would cheer for it. That made Shangguan Tianyou even more displeased with Bai Xiaochun than ever",3,3,3,0,
1,MBart,Fine-Tuned,Texto Origen,"""在仙元方面，巨阳仙尊应当占据优势。 在炼蛊方面，是方源占据优势""","In terms of immortal essence, Giant Sun Immortal Venerable should have an advantage, in terms of Gu refinement, Fang Yuan has the advantage","In terms of immortal essence, Giant Sun Immortal Venerable should have the advantage, in terms of Gu refinement, Fang Yuan should have the advantage",3,3,3,0,
1,MBart,Fine-Tuned,Texto Origen,"""那么对不起得很，两柄剑都到了做哥哥的家里啦""","Then I am really very sorry, for both daggers would belong to my family then","Then I am very sorry, both swords have come to my family",2,1,3,0,
1,MBart,Fine-Tuned,Texto Origen,"""方源，你怎么也想不到，会有今天吧""","Fang Yuan, you had never in your wildest imagination, expect this day to occur right","Fang Yuan, how could you not think of this day",1,1,2,0,recorta mucho
1,MBart,Fine-Tuned,Texto Origen,"""提到弟弟丁言。 丁齐满脸悲伤愤怒""","Mentioning his brother, Ding Qi was extremely angry and upset","Mentioning his younger brother Ding Yan, Ding Qi had a sad and furious expression",3,3,3,0,
1,MBart,Fine-Tuned,Texto Origen,"""黄蓉道""",Huang Rong said, Huang Rong said,3,3,3,0,
1,MBart,Fine-Tuned,Texto Origen,"""大小姐，你不妨将此事交给我处理，我来找她谈，付出一些代价也无妨""","Missy, leave this to me, I will negotiate with her, it is okay if we pay a small price","Young miss, you might as well hand this matter to me, I can talk to her and pay a price for it",3,2,2,0,
1,MBart,Fine-Tuned,Texto Origen,"""现在还不是换取变化道仙蛊方，炼制变化道的其他仙蛊的时候""","Now was not the time to exchange them for transformation path Immortal Gu recipes, or the time to refine transformation path Immortal Gu",Now is not the time to exchange for transformation path Immortal Gu recipes and refine other transformation path Immortal Gu,3,3,3,0,
1,MBart,Fine-Tuned,Texto Origen,"""苏秦背剑""",Reviving Qin Behind the Sword,Su Qin With Her Sword on Her Back,3,2,2,0,semanticamente correcto
