Model,Prompt,Shot,Metric,Score
Gemma_3,0,0SHOT,sacrebleu,10.64
Gemma_3,0,0SHOT,chrf2,36.46
Gemma_3,0,0SHOT,ter,86.29
Gemma_3,0,0SHOT,rougeL_f1,40.29
Gemma_3,0,0SHOT,meteor,39.41
Gemma_3,0,0SHOT,bertscore,77.39
Gemma_3,0,0SHOT,comet,71.5
Gemma_3,0,1SHOT,sacrebleu,11.11
Gemma_3,0,1SHOT,chrf2,36.19
Gemma_3,0,1SHOT,ter,82.81
Gemma_3,0,1SHOT,rougeL_f1,40.89
Gemma_3,0,1SHOT,meteor,39.21
Gemma_3,0,1SHOT,bertscore,77.95
Gemma_3,0,1SHOT,comet,72.89
Gemma_3,0,2SHOT,sacrebleu,10.94
Gemma_3,0,2SHOT,chrf2,36.67
Gemma_3,0,2SHOT,ter,84.01
Gemma_3,0,2SHOT,rougeL_f1,41.41
Gemma_3,0,2SHOT,meteor,39.54
Gemma_3,0,2SHOT,bertscore,78.01
Gemma_3,0,2SHOT,comet,73.52
Gemma_3,0,3SHOT,sacrebleu,11.14
Gemma_3,0,3SHOT,chrf2,36.84
Gemma_3,0,3SHOT,ter,83.56
Gemma_3,0,3SHOT,rougeL_f1,41.67
Gemma_3,0,3SHOT,meteor,39.92
Gemma_3,0,3SHOT,bertscore,78.15
Gemma_3,0,3SHOT,comet,73.63
Gemma_3,0,5SHOT,sacrebleu,11.25
Gemma_3,0,5SHOT,chrf2,36.97
Gemma_3,0,5SHOT,ter,82.19
Gemma_3,0,5SHOT,rougeL_f1,42.56
Gemma_3,0,5SHOT,meteor,40.88
Gemma_3,0,5SHOT,bertscore,78.27
Gemma_3,0,5SHOT,comet,74.01
Gemma_3,0,10SHOT,sacrebleu,11.57
Gemma_3,0,10SHOT,chrf2,37.06
Gemma_3,0,10SHOT,ter,81.49
Gemma_3,0,10SHOT,rougeL_f1,43.0
Gemma_3,0,10SHOT,meteor,41.25
Gemma_3,0,10SHOT,bertscore,78.4
Gemma_3,0,10SHOT,comet,74.25
Gemma_3,1,0SHOT,sacrebleu,1.03
Gemma_3,1,0SHOT,chrf2,19.78
Gemma_3,1,0SHOT,ter,515.95
Gemma_3,1,0SHOT,rougeL_f1,12.45
Gemma_3,1,0SHOT,meteor,21.49
Gemma_3,1,0SHOT,bertscore,64.28
Gemma_3,1,0SHOT,comet,54.69
Gemma_3,1,1SHOT,sacrebleu,3.76
Gemma_3,1,1SHOT,chrf2,28.27
Gemma_3,1,1SHOT,ter,134.23
Gemma_3,1,1SHOT,rougeL_f1,27.6
Gemma_3,1,1SHOT,meteor,28.61
Gemma_3,1,1SHOT,bertscore,72.38
Gemma_3,1,1SHOT,comet,65.46
Gemma_3,1,2SHOT,sacrebleu,3.29
Gemma_3,1,2SHOT,chrf2,27.5
Gemma_3,1,2SHOT,ter,165.55
Gemma_3,1,2SHOT,rougeL_f1,26.83
Gemma_3,1,2SHOT,meteor,28.33
Gemma_3,1,2SHOT,bertscore,71.96
Gemma_3,1,2SHOT,comet,65.16
Gemma_3,1,3SHOT,sacrebleu,3.39
Gemma_3,1,3SHOT,chrf2,27.39
Gemma_3,1,3SHOT,ter,166.16
Gemma_3,1,3SHOT,rougeL_f1,26.92
Gemma_3,1,3SHOT,meteor,28.37
Gemma_3,1,3SHOT,bertscore,71.92
Gemma_3,1,3SHOT,comet,65.41
Gemma_3,1,5SHOT,sacrebleu,3.97
Gemma_3,1,5SHOT,chrf2,28.74
Gemma_3,1,5SHOT,ter,146.42
