"ID",Arquitectura,Estado_Modelo,Tipo_Input,texto_raw,Texto_Input,Texto_Output,FIDELIDAD,CALIDAD,DOMINIO,ALUCINACION,Notas_Cualitativas
2,Llama 3,Base,Prompt 1,"""算不尽仙友，你是智道蛊仙更当明白眼前的局势""","Friend Suan Bu Jin, as a wisdom path Gu Immortal, you should be even more aware of the current situation","You should understand the current situation, Suanbujin Xianyou, as a wise and knowledgeable Zhi Dao Jiao Xian",1,2,1,0,
2,Llama 3,Base,Prompt 1,"""立刻这上百药草形成的药液，骤然落下，在与这血湖碰触的瞬间，如同相互之间有强烈的排斥，直接爆发，燃烧成为黑色的火焰，覆盖整个血湖""","As they flew through the air, they transformed into a medicinal liquid. When that entered the blood lake, a powerful expulsion force erupted out, and the burning caused a black smoke to rise up and fill the area","The medicinal liquid formed by the hundreds of medicinal herbs suddenly fell down, and at the moment it came into contact with the Blood Lake, it was as if there was a strong repulsion between them, directly exploding and burning into black flames, covering the entire Blood Lake",2,2,2,0,
2,Llama 3,Base,Prompt 1,"""对那些徒手肉搏者，这些堪比钢铁般坚硬的木刺，将会给他们留下深刻的印象""","To those fighting barehanded, these thorns that were as sturdy as steel would leave a lasting impression on them","For those who fight with their bare hands, these wooden stakes as hard as steel will leave a deep impression on them",3,3,3,0,
2,Llama 3,Base,Prompt 1,"""古月方想口中喃喃，捂住心口""","Gu Yue Fang Xiang muttered, his hand over his heart","Gǔ Yuè murmured to himself, covering his mouth with his hand",1,2,1,0,
2,Llama 3,Base,Prompt 1,"""若是在平地之上，尺许小径又算得了甚么，可是这石梁下临深谷，别说行走，只望一眼也不免胆战心惊""","If this stone bridge were laid on the ground, it would act just like a narrow alley, nothing to be afraid of, but under the stone bridge was a deep canyon. Just looking at it would cause the heart to tremble with fear, let alone walk across it","On level ground, a narrow path of a few inches would be nothing, but this stone bridge hangs over a deep valley, and not only is it frightening to walk on it, just looking at it makes one's heart tremble with fear",2,2,2,0,
2,Llama 3,Base,Prompt 1,"""虽然我并非黄金血脉。 参与王庭争霸，就是为了混迹到八十八角真阳楼中捞取好处""","Although I am not of the Huang Jin bloodline, I participated in the fight for Imperial Court to get some benefits from Eighty-Eight True Yang Building","Although I am not of noble birth, participating in the struggle for hegemony in the Wang Ting is just to blend in and take advantage of the opportunities in the eighty-eightth true Yang Lou",3,1,1,0,
2,Llama 3,Base,Prompt 1,"""反倒是北岸，此刻居然为上官天佑欢呼，这欢呼声让上官天佑心里别扭，他知道北岸不是因为自己，而是因为白小纯才对自己发出欢呼，也就是说，就算与白小纯对战的是一头猪，北岸也会为这头猪喝彩，这么一想，上官天佑心底对白小纯，更为不悦""","The north bank, on the other hand, actually did start to cheer for Shangguan Tianyou. In response, Shangguan Tianyou frowned, aware that they weren't really cheering for him, but against Bai Xiaochun. The north bank would cheer for any oppon ent of Bai Xiaochun’s, even if it were a pig. The thought left Shangguan Tianyou even more displeased than before","On the contrary, it was the north shore that was cheering for Shang Guan Tianyou at this moment, and this cheer made Shang Guan Tianyou feel awkward in his heart. He knew that the north shore was not cheering for himself, but for Bai Xiaochun, which meant that even if the one fighting against Bai Xiaochun was a pig, the north shore would still cheer for the pig. Thinking of this, Shang Guan Tianyou was even more displeased with Bai Xiaochun in his heart",3,2,2,0,
2,Llama 3,Base,Prompt 1,"""在仙元方面，巨阳仙尊应当占据优势。 在炼蛊方面，是方源占据优势""","In terms of immortal essence, Giant Sun Immortal Venerable should have an advantage, in terms of Gu refinement, Fang Yuan has the advantage","In terms of Xiānyuán, Jùyáng Xiānzūn should have the upper hand. In Liàn Zhú, it is Fāng Yuán who has the upper hand",3,2,2,0,
2,Llama 3,Base,Prompt 1,"""那么对不起得很，两柄剑都到了做哥哥的家里啦""","Then I am really very sorry, for both daggers would belong to my family then","So, sorry to say, both swords have arrived at Dage's home now",1,1,2,0,
2,Llama 3,Base,Prompt 1,"""方源，你怎么也想不到，会有今天吧""","Fang Yuan, you had never in your wildest imagination, expect this day to occur right","Fang Yuan, you didn't think that things would turn out this way, did you?",3,3,3,0,
2,Llama 3,Base,Prompt 1,"""提到弟弟丁言。 丁齐满脸悲伤愤怒""","Mentioning his brother, Ding Qi was extremely angry and upset",Mentioning his younger brother Ding Yan. Ding Qi's face was full of sadness and anger.,3,3,3,0,
2,Llama 3,Base,Prompt 1,"""黄蓉道""",Huang Rong said,Huang Rongdao,0,0,1,0,
2,Llama 3,Base,Prompt 1,"""大小姐，你不妨将此事交给我处理，我来找她谈，付出一些代价也无妨""","Missy, leave this to me, I will negotiate with her, it is okay if we pay a small price","Miss, you might as well let me handle this matter, I'll go talk to her, and it's alright to pay some price",2,2,2,0,
2,Llama 3,Base,Prompt 1,"""现在还不是换取变化道仙蛊方，炼制变化道的其他仙蛊的时候""","Now was not the time to exchange them for transformation path Immortal Gu recipes, or the time to refine transformation path Immortal Gu","It is not time yet to exchange the Huafang of the Transformation Path, to refine the other Huafang of the Transformation Path",2,1,0,0,
2,Llama 3,Base,Prompt 1,"""苏秦背剑""",Reviving Qin Behind the Sword,Su Qin wears a sword on his back,2,2,2,0,
