Model,Prompt,Shot,Metric,Score
gemma3_12b,PROMPT 0,0SHOT,sacrebleu,10.73
gemma3_12b,PROMPT 0,0SHOT,chrf2,36.9
gemma3_12b,PROMPT 0,0SHOT,ter,86.39
gemma3_12b,PROMPT 0,0SHOT,rougeL_f1,39.23
gemma3_12b,PROMPT 0,0SHOT,meteor,38.45
gemma3_12b,PROMPT 0,0SHOT,bertscore,77.5
gemma3_12b,PROMPT 0,0SHOT,comet,72.14
gemma3_12b,PROMPT 0,1SHOT,sacrebleu,10.75
gemma3_12b,PROMPT 0,1SHOT,chrf2,35.64
gemma3_12b,PROMPT 0,1SHOT,ter,83.56
gemma3_12b,PROMPT 0,1SHOT,rougeL_f1,38.12
gemma3_12b,PROMPT 0,1SHOT,meteor,36.79
gemma3_12b,PROMPT 0,1SHOT,bertscore,77.37
gemma3_12b,PROMPT 0,1SHOT,comet,71.88
gemma3_12b,PROMPT 0,2SHOT,sacrebleu,11.29
gemma3_12b,PROMPT 0,2SHOT,chrf2,36.92
gemma3_12b,PROMPT 0,2SHOT,ter,82.98
gemma3_12b,PROMPT 0,2SHOT,rougeL_f1,40.34
gemma3_12b,PROMPT 0,2SHOT,meteor,38.71
gemma3_12b,PROMPT 0,2SHOT,bertscore,78.0
gemma3_12b,PROMPT 0,2SHOT,comet,72.59
gemma3_12b,PROMPT 0,3SHOT,sacrebleu,11.62
gemma3_12b,PROMPT 0,3SHOT,chrf2,37.01
gemma3_12b,PROMPT 0,3SHOT,ter,82.81
gemma3_12b,PROMPT 0,3SHOT,rougeL_f1,41.18
gemma3_12b,PROMPT 0,3SHOT,meteor,39.3
gemma3_12b,PROMPT 0,3SHOT,bertscore,78.37
gemma3_12b,PROMPT 0,3SHOT,comet,72.92
gemma3_12b,PROMPT 0,5SHOT,sacrebleu,11.91
gemma3_12b,PROMPT 0,5SHOT,chrf2,37.45
gemma3_12b,PROMPT 0,5SHOT,ter,82.66
gemma3_12b,PROMPT 0,5SHOT,rougeL_f1,41.81
gemma3_12b,PROMPT 0,5SHOT,meteor,40.22
gemma3_12b,PROMPT 0,5SHOT,bertscore,78.52
gemma3_12b,PROMPT 0,5SHOT,comet,73.27
gemma3_12b,PROMPT 0,10SHOT,sacrebleu,11.99
gemma3_12b,PROMPT 0,10SHOT,chrf2,37.39
gemma3_12b,PROMPT 0,10SHOT,ter,81.96
gemma3_12b,PROMPT 0,10SHOT,rougeL_f1,42.29
gemma3_12b,PROMPT 0,10SHOT,meteor,40.35
gemma3_12b,PROMPT 0,10SHOT,bertscore,78.77
gemma3_12b,PROMPT 0,10SHOT,comet,73.59
gemma3_12b,PROMPT 1,0SHOT,sacrebleu,1.1
gemma3_12b,PROMPT 1,0SHOT,chrf2,20.09
gemma3_12b,PROMPT 1,0SHOT,ter,461.45
gemma3_12b,PROMPT 1,0SHOT,rougeL_f1,14.76
gemma3_12b,PROMPT 1,0SHOT,meteor,22.26
gemma3_12b,PROMPT 1,0SHOT,bertscore,64.69
gemma3_12b,PROMPT 1,0SHOT,comet,56.0
gemma3_12b,PROMPT 1,1SHOT,sacrebleu,0.89
gemma3_12b,PROMPT 1,1SHOT,chrf2,16.98
gemma3_12b,PROMPT 1,1SHOT,ter,638.7
gemma3_12b,PROMPT 1,1SHOT,rougeL_f1,14.76
gemma3_12b,PROMPT 1,1SHOT,meteor,20.58
gemma3_12b,PROMPT 1,1SHOT,bertscore,64.24
gemma3_12b,PROMPT 1,1SHOT,comet,56.23
gemma3_12b,PROMPT 1,2SHOT,sacrebleu,1.16
gemma3_12b,PROMPT 1,2SHOT,chrf2,19.08
gemma3_12b,PROMPT 1,2SHOT,ter,507.11
gemma3_12b,PROMPT 1,2SHOT,rougeL_f1,17.24
gemma3_12b,PROMPT 1,2SHOT,meteor,22.93
gemma3_12b,PROMPT 1,2SHOT,bertscore,65.84
gemma3_12b,PROMPT 1,2SHOT,comet,58.44
gemma3_12b,PROMPT 1,3SHOT,sacrebleu,1.83
gemma3_12b,PROMPT 1,3SHOT,chrf2,22.32
gemma3_12b,PROMPT 1,3SHOT,ter,339.91
gemma3_12b,PROMPT 1,3SHOT,rougeL_f1,24.56
gemma3_12b,PROMPT 1,3SHOT,meteor,27.2
gemma3_12b,PROMPT 1,3SHOT,bertscore,69.04
gemma3_12b,PROMPT 1,3SHOT,comet,62.96
gemma3_12b,PROMPT 1,5SHOT,sacrebleu,2.14
gemma3_12b,PROMPT 1,5SHOT,chrf2,23.44
gemma3_12b,PROMPT 1,5SHOT,ter,298.08
gemma3_12b,PROMPT 1,5SHOT,rougeL_f1,25.06
gemma3_12b,PROMPT 1,5SHOT,meteor,27.43
gemma3_12b,PROMPT 1,5SHOT,bertscore,69.45
gemma3_12b,PROMPT 1,5SHOT,comet,63.14
gemma3_12b,PROMPT 1,10SHOT,sacrebleu,2.57
gemma3_12b,PROMPT 1,10SHOT,chrf2,25.0
gemma3_12b,PROMPT 1,10SHOT,ter,250.58
gemma3_12b,PROMPT 1,10SHOT,rougeL_f1,28.68
gemma3_12b,PROMPT 1,10SHOT,meteor,29.99
gemma3_12b,PROMPT 1,10SHOT,bertscore,71.03
gemma3_12b,PROMPT 1,10SHOT,comet,65.35
gemma3_12b,PROMPT 2,0SHOT,sacrebleu,0.8
gemma3_12b,PROMPT 2,0SHOT,chrf2,18.73
gemma3_12b,PROMPT 2,0SHOT,ter,539.48
gemma3_12b,PROMPT 2,0SHOT,rougeL_f1,10.91
gemma3_12b,PROMPT 2,0SHOT,meteor,18.93
gemma3_12b,PROMPT 2,0SHOT,bertscore,63.96
gemma3_12b,PROMPT 2,0SHOT,comet,53.7
gemma3_12b,PROMPT 2,1SHOT,sacrebleu,0.95
gemma3_12b,PROMPT 2,1SHOT,chrf2,19.42
gemma3_12b,PROMPT 2,1SHOT,ter,417.7
gemma3_12b,PROMPT 2,1SHOT,rougeL_f1,16.22
gemma3_12b,PROMPT 2,1SHOT,meteor,20.1
gemma3_12b,PROMPT 2,1SHOT,bertscore,66.58
gemma3_12b,PROMPT 2,1SHOT,comet,57.85
gemma3_12b,PROMPT 2,2SHOT,sacrebleu,1.65
gemma3_12b,PROMPT 2,2SHOT,chrf2,22.69
gemma3_12b,PROMPT 2,2SHOT,ter,297.54
gemma3_12b,PROMPT 2,2SHOT,rougeL_f1,21.16
gemma3_12b,PROMPT 2,2SHOT,meteor,24.46
gemma3_12b,PROMPT 2,2SHOT,bertscore,68.91
gemma3_12b,PROMPT 2,2SHOT,comet,60.99
gemma3_12b,PROMPT 2,3SHOT,sacrebleu,2.14
gemma3_12b,PROMPT 2,3SHOT,chrf2,24.53
gemma3_12b,PROMPT 2,3SHOT,ter,240.72
gemma3_12b,PROMPT 2,3SHOT,rougeL_f1,23.74
gemma3_12b,PROMPT 2,3SHOT,meteor,26.21
gemma3_12b,PROMPT 2,3SHOT,bertscore,70.06
gemma3_12b,PROMPT 2,3SHOT,comet,62.5
gemma3_12b,PROMPT 2,5SHOT,sacrebleu,2.38
gemma3_12b,PROMPT 2,5SHOT,chrf2,25.25
gemma3_12b,PROMPT 2,5SHOT,ter,206.97
gemma3_12b,PROMPT 2,5SHOT,rougeL_f1,24.78
gemma3_12b,PROMPT 2,5SHOT,meteor,26.59
gemma3_12b,PROMPT 2,5SHOT,bertscore,70.85
gemma3_12b,PROMPT 2,5SHOT,comet,63.59
gemma3_12b,PROMPT 2,10SHOT,sacrebleu,3.07
gemma3_12b,PROMPT 2,10SHOT,chrf2,26.69
gemma3_12b,PROMPT 2,10SHOT,ter,174.47
gemma3_12b,PROMPT 2,10SHOT,rougeL_f1,27.27
gemma3_12b,PROMPT 2,10SHOT,meteor,28.17
gemma3_12b,PROMPT 2,10SHOT,bertscore,71.85
gemma3_12b,PROMPT 2,10SHOT,comet,65.25
gemma3_12b,PROMPT 3,0SHOT,sacrebleu,9.82
gemma3_12b,PROMPT 3,0SHOT,chrf2,35.53
gemma3_12b,PROMPT 3,0SHOT,ter,85.32
gemma3_12b,PROMPT 3,0SHOT,rougeL_f1,38.41
gemma3_12b,PROMPT 3,0SHOT,meteor,36.74
gemma3_12b,PROMPT 3,0SHOT,bertscore,77.31
gemma3_12b,PROMPT 3,0SHOT,comet,69.13
gemma3_12b,PROMPT 3,1SHOT,sacrebleu,9.91
gemma3_12b,PROMPT 3,1SHOT,chrf2,33.55
gemma3_12b,PROMPT 3,1SHOT,ter,85.13
gemma3_12b,PROMPT 3,1SHOT,rougeL_f1,35.27
gemma3_12b,PROMPT 3,1SHOT,meteor,33.09
gemma3_12b,PROMPT 3,1SHOT,bertscore,75.73
gemma3_12b,PROMPT 3,1SHOT,comet,66.52
gemma3_12b,PROMPT 3,2SHOT,sacrebleu,10.79
gemma3_12b,PROMPT 3,2SHOT,chrf2,35.64
gemma3_12b,PROMPT 3,2SHOT,ter,83.84
gemma3_12b,PROMPT 3,2SHOT,rougeL_f1,37.46
gemma3_12b,PROMPT 3,2SHOT,meteor,36.05
gemma3_12b,PROMPT 3,2SHOT,bertscore,76.71
gemma3_12b,PROMPT 3,2SHOT,comet,68.96
gemma3_12b,PROMPT 3,3SHOT,sacrebleu,10.69
gemma3_12b,PROMPT 3,3SHOT,chrf2,35.58
gemma3_12b,PROMPT 3,3SHOT,ter,84.1
gemma3_12b,PROMPT 3,3SHOT,rougeL_f1,37.57
gemma3_12b,PROMPT 3,3SHOT,meteor,36.5
gemma3_12b,PROMPT 3,3SHOT,bertscore,76.89
gemma3_12b,PROMPT 3,3SHOT,comet,68.45
gemma3_12b,PROMPT 3,5SHOT,sacrebleu,10.86
gemma3_12b,PROMPT 3,5SHOT,chrf2,35.27
gemma3_12b,PROMPT 3,5SHOT,ter,84.36
gemma3_12b,PROMPT 3,5SHOT,rougeL_f1,36.38
gemma3_12b,PROMPT 3,5SHOT,meteor,35.74
gemma3_12b,PROMPT 3,5SHOT,bertscore,76.15
gemma3_12b,PROMPT 3,5SHOT,comet,67.49
gemma3_12b,PROMPT 3,10SHOT,sacrebleu,11.39
gemma3_12b,PROMPT 3,10SHOT,chrf2,36.24
gemma3_12b,PROMPT 3,10SHOT,ter,83.17
gemma3_12b,PROMPT 3,10SHOT,rougeL_f1,38.54
gemma3_12b,PROMPT 3,10SHOT,meteor,37.42
gemma3_12b,PROMPT 3,10SHOT,bertscore,77.29
gemma3_12b,PROMPT 3,10SHOT,comet,69.99
gemma3_12b,PROMPT 4,0SHOT,sacrebleu,7.09
gemma3_12b,PROMPT 4,0SHOT,chrf2,33.14
gemma3_12b,PROMPT 4,0SHOT,ter,97.97
gemma3_12b,PROMPT 4,0SHOT,rougeL_f1,34.27
gemma3_12b,PROMPT 4,0SHOT,meteor,33.86
gemma3_12b,PROMPT 4,0SHOT,bertscore,75.14
gemma3_12b,PROMPT 4,0SHOT,comet,69.62
gemma3_12b,PROMPT 4,1SHOT,sacrebleu,6.8
gemma3_12b,PROMPT 4,1SHOT,chrf2,30.65
gemma3_12b,PROMPT 4,1SHOT,ter,105.06
gemma3_12b,PROMPT 4,1SHOT,rougeL_f1,30.64
gemma3_12b,PROMPT 4,1SHOT,meteor,30.21
gemma3_12b,PROMPT 4,1SHOT,bertscore,72.89
gemma3_12b,PROMPT 4,1SHOT,comet,66.3
gemma3_12b,PROMPT 4,2SHOT,sacrebleu,8.07
gemma3_12b,PROMPT 4,2SHOT,chrf2,32.51
gemma3_12b,PROMPT 4,2SHOT,ter,94.26
gemma3_12b,PROMPT 4,2SHOT,rougeL_f1,30.51
gemma3_12b,PROMPT 4,2SHOT,meteor,30.32
gemma3_12b,PROMPT 4,2SHOT,bertscore,73.12
gemma3_12b,PROMPT 4,2SHOT,comet,65.49
gemma3_12b,PROMPT 4,3SHOT,sacrebleu,8.45
gemma3_12b,PROMPT 4,3SHOT,chrf2,32.75
gemma3_12b,PROMPT 4,3SHOT,ter,91.7
gemma3_12b,PROMPT 4,3SHOT,rougeL_f1,31.44
gemma3_12b,PROMPT 4,3SHOT,meteor,31.22
gemma3_12b,PROMPT 4,3SHOT,bertscore,73.08
gemma3_12b,PROMPT 4,3SHOT,comet,64.71
gemma3_12b,PROMPT 4,5SHOT,sacrebleu,8.71
gemma3_12b,PROMPT 4,5SHOT,chrf2,33.21
gemma3_12b,PROMPT 4,5SHOT,ter,93.52
gemma3_12b,PROMPT 4,5SHOT,rougeL_f1,32.26
gemma3_12b,PROMPT 4,5SHOT,meteor,31.92
gemma3_12b,PROMPT 4,5SHOT,bertscore,73.53
gemma3_12b,PROMPT 4,5SHOT,comet,65.56
gemma3_12b,PROMPT 4,10SHOT,sacrebleu,9.25
gemma3_12b,PROMPT 4,10SHOT,chrf2,34.28
gemma3_12b,PROMPT 4,10SHOT,ter,91.23
gemma3_12b,PROMPT 4,10SHOT,rougeL_f1,35.47
gemma3_12b,PROMPT 4,10SHOT,meteor,34.7
gemma3_12b,PROMPT 4,10SHOT,bertscore,75.16
gemma3_12b,PROMPT 4,10SHOT,comet,68.42
gemma3_1b,PROMPT 0,0SHOT,sacrebleu,5.16
gemma3_1b,PROMPT 0,0SHOT,chrf2,25.69
gemma3_1b,PROMPT 0,0SHOT,ter,93.81
gemma3_1b,PROMPT 0,0SHOT,rougeL_f1,24.02
gemma3_1b,PROMPT 0,0SHOT,meteor,22.19
gemma3_1b,PROMPT 0,0SHOT,bertscore,72.94
gemma3_1b,PROMPT 0,0SHOT,comet,61.05
gemma3_1b,PROMPT 0,1SHOT,sacrebleu,5.32
gemma3_1b,PROMPT 0,1SHOT,chrf2,27.5
gemma3_1b,PROMPT 0,1SHOT,ter,92.18
gemma3_1b,PROMPT 0,1SHOT,rougeL_f1,27.0
gemma3_1b,PROMPT 0,1SHOT,meteor,24.58
gemma3_1b,PROMPT 0,1SHOT,bertscore,74.02
gemma3_1b,PROMPT 0,1SHOT,comet,63.26
gemma3_1b,PROMPT 0,2SHOT,sacrebleu,5.46
gemma3_1b,PROMPT 0,2SHOT,chrf2,28.68
gemma3_1b,PROMPT 0,2SHOT,ter,92.22
gemma3_1b,PROMPT 0,2SHOT,rougeL_f1,28.11
gemma3_1b,PROMPT 0,2SHOT,meteor,25.64
gemma3_1b,PROMPT 0,2SHOT,bertscore,74.37
gemma3_1b,PROMPT 0,2SHOT,comet,65.6
gemma3_1b,PROMPT 0,3SHOT,sacrebleu,5.49
gemma3_1b,PROMPT 0,3SHOT,chrf2,29.17
gemma3_1b,PROMPT 0,3SHOT,ter,92.6
gemma3_1b,PROMPT 0,3SHOT,rougeL_f1,29.26
gemma3_1b,PROMPT 0,3SHOT,meteor,26.81
gemma3_1b,PROMPT 0,3SHOT,bertscore,74.72
gemma3_1b,PROMPT 0,3SHOT,comet,66.09
gemma3_1b,PROMPT 0,5SHOT,sacrebleu,5.1
gemma3_1b,PROMPT 0,5SHOT,chrf2,28.48
gemma3_1b,PROMPT 0,5SHOT,ter,97.18
gemma3_1b,PROMPT 0,5SHOT,rougeL_f1,28.29
gemma3_1b,PROMPT 0,5SHOT,meteor,26.14
gemma3_1b,PROMPT 0,5SHOT,bertscore,74.31
gemma3_1b,PROMPT 0,5SHOT,comet,65.52
gemma3_1b,PROMPT 0,10SHOT,sacrebleu,5.29
gemma3_1b,PROMPT 0,10SHOT,chrf2,28.38
gemma3_1b,PROMPT 0,10SHOT,ter,94.21
gemma3_1b,PROMPT 0,10SHOT,rougeL_f1,27.88
gemma3_1b,PROMPT 0,10SHOT,meteor,25.56
gemma3_1b,PROMPT 0,10SHOT,bertscore,74.2
gemma3_1b,PROMPT 0,10SHOT,comet,65.02
gemma3_1b,PROMPT 1,0SHOT,sacrebleu,0.47
gemma3_1b,PROMPT 1,0SHOT,chrf2,16.78
gemma3_1b,PROMPT 1,0SHOT,ter,370.98
gemma3_1b,PROMPT 1,0SHOT,rougeL_f1,12.11
gemma3_1b,PROMPT 1,0SHOT,meteor,14.76
gemma3_1b,PROMPT 1,0SHOT,bertscore,64.25
gemma3_1b,PROMPT 1,0SHOT,comet,50.39
gemma3_1b,PROMPT 1,1SHOT,sacrebleu,1.6
gemma3_1b,PROMPT 1,1SHOT,chrf2,23.12
gemma3_1b,PROMPT 1,1SHOT,ter,158.65
gemma3_1b,PROMPT 1,1SHOT,rougeL_f1,18.61
gemma3_1b,PROMPT 1,1SHOT,meteor,19.37
gemma3_1b,PROMPT 1,1SHOT,bertscore,68.49
gemma3_1b,PROMPT 1,1SHOT,comet,56.06
gemma3_1b,PROMPT 1,2SHOT,sacrebleu,2.04
gemma3_1b,PROMPT 1,2SHOT,chrf2,24.18
gemma3_1b,PROMPT 1,2SHOT,ter,151.6
gemma3_1b,PROMPT 1,2SHOT,rougeL_f1,21.0
gemma3_1b,PROMPT 1,2SHOT,meteor,21.51
gemma3_1b,PROMPT 1,2SHOT,bertscore,69.2
gemma3_1b,PROMPT 1,2SHOT,comet,58.17
gemma3_1b,PROMPT 1,3SHOT,sacrebleu,1.75
gemma3_1b,PROMPT 1,3SHOT,chrf2,24.15
gemma3_1b,PROMPT 1,3SHOT,ter,153.88
gemma3_1b,PROMPT 1,3SHOT,rougeL_f1,19.84
gemma3_1b,PROMPT 1,3SHOT,meteor,20.62
gemma3_1b,PROMPT 1,3SHOT,bertscore,68.77
gemma3_1b,PROMPT 1,3SHOT,comet,57.81
gemma3_1b,PROMPT 1,5SHOT,sacrebleu,1.58
gemma3_1b,PROMPT 1,5SHOT,chrf2,23.55
gemma3_1b,PROMPT 1,5SHOT,ter,164.79
gemma3_1b,PROMPT 1,5SHOT,rougeL_f1,19.44
gemma3_1b,PROMPT 1,5SHOT,meteor,20.04
gemma3_1b,PROMPT 1,5SHOT,bertscore,68.92
gemma3_1b,PROMPT 1,5SHOT,comet,58.28
gemma3_1b,PROMPT 1,10SHOT,sacrebleu,2.47
gemma3_1b,PROMPT 1,10SHOT,chrf2,25.52
gemma3_1b,PROMPT 1,10SHOT,ter,123.35
gemma3_1b,PROMPT 1,10SHOT,rougeL_f1,23.07
gemma3_1b,PROMPT 1,10SHOT,meteor,22.11
gemma3_1b,PROMPT 1,10SHOT,bertscore,71.49
gemma3_1b,PROMPT 1,10SHOT,comet,62.19
gemma3_1b,PROMPT 2,0SHOT,sacrebleu,0.87
gemma3_1b,PROMPT 2,0SHOT,chrf2,21.17
gemma3_1b,PROMPT 2,0SHOT,ter,219.46
gemma3_1b,PROMPT 2,0SHOT,rougeL_f1,15.03
gemma3_1b,PROMPT 2,0SHOT,meteor,17.37
gemma3_1b,PROMPT 2,0SHOT,bertscore,65.31
gemma3_1b,PROMPT 2,0SHOT,comet,52.5
gemma3_1b,PROMPT 2,1SHOT,sacrebleu,1.63
gemma3_1b,PROMPT 2,1SHOT,chrf2,22.53
gemma3_1b,PROMPT 2,1SHOT,ter,165.21
gemma3_1b,PROMPT 2,1SHOT,rougeL_f1,17.38
gemma3_1b,PROMPT 2,1SHOT,meteor,18.52
gemma3_1b,PROMPT 2,1SHOT,bertscore,66.99
gemma3_1b,PROMPT 2,1SHOT,comet,55.17
gemma3_1b,PROMPT 2,2SHOT,sacrebleu,2.0
gemma3_1b,PROMPT 2,2SHOT,chrf2,24.12
gemma3_1b,PROMPT 2,2SHOT,ter,144.49
gemma3_1b,PROMPT 2,2SHOT,rougeL_f1,19.11
