Modelo;Texto_Raw;Texto_Input;Traduccion_Raw
Gemini;"算不尽仙友，你是智道蛊仙更当明白眼前的局势";Friend Suan Bu Jin, as a wisdom path Gu Immortal, you should be even more aware of the current situation;"Among the immortal friends, you, the wisdom path Gu Immortal, should understand the current situation even better."
Gemini;"立刻这上百药草形成的药液，骤然落下，在与这血湖碰触的瞬间，如同相互之间有强烈的排斥，直接爆发，燃烧成为黑色的火焰，覆盖整个血湖";As they flew through the air, they transformed into a medicinal liquid. When that entered the blood lake, a powerful expulsion force erupted out, and the burning caused a black smoke to rise up and fill the area;"Immediately, this liquid formed from hundreds of herbs suddenly fell. The moment it touched this blood lake, as if there was a strong repulsion between them, it directly exploded, burning into black flames that covered the entire blood lake."
Gemini;"对那些徒手肉搏者，这些堪比钢铁般坚硬的木刺，将会给他们留下深刻的印象";To those fighting barehanded, these thorns that were as sturdy as steel would leave a lasting impression on them;"For those who fight bare-handed, these wooden spikes, as hard as steel, will leave a deep impression."
Gemini;"古月方想口中喃喃，捂住心口";Gu Yue Fang Xiang muttered, his hand over his heart;"Gu Yue Fang Xiang murmured, clutching his chest."
Gemini;"若是在平地之上，尺许小径又算得了甚么，可是这石梁下临深谷，别说行走，只望一眼也不免胆战心惊";If this stone bridge were laid on the ground, it would act just like a narrow alley, nothing to be afraid of, but under the stone bridge was a deep canyon. Just looking at it would cause the heart to tremble with fear, let alone walk across it;"If it were on flat ground, what would a foot-wide path be? But below this stone bridge is a deep valley, let alone walking, just looking at it would make one tremble with fear."
Gemini;"虽然我并非黄金血脉。 参与王庭争霸，就是为了混迹到八十八角真阳楼中捞取好处";Although I am not of the Huang Jin bloodline, I participated in the fight for Imperial Court to get some benefits from Eighty-Eight True Yang Building;"Although I do not have the golden bloodline. Participating in the royal court competition is to blend into the Eighty-Eight True Yang Building to gain benefits."
Gemini;"反倒是北岸，此刻居然为上官天佑欢呼，这欢呼声让上官天佑心里别扭，他知道北岸不是因为自己，而是因为白小纯才对自己发出欢呼，也就是说，就算与白小纯对战的是一头猪，北岸也会为这头猪喝彩，这么一想，上官天佑心底对白小纯，更为不悦";The north bank, on the other hand, actually did start to cheer for Shangguan Tianyou. In response, Shangguan Tianyou frowned, aware that they weren't really cheering for him, but against Bai Xiaochun. The north bank would cheer for any oppon ent of Bai Xiaochun’s, even if it were a pig. The thought left Shangguan Tianyou even more displeased than before;"On the contrary, the north bank was cheering for Shangguan Tianyou at this moment. This cheer made Shangguan Tianyou feel awkward. He knew that the north bank was not cheering for him, but for Bai Xiaochun, meaning that even if he were fighting a pig, the north bank would cheer for the pig. Thinking of this, Shangguan Tianyou became even more displeased with Bai Xiaochun."
Gemini;"在仙元方面，巨阳仙尊应当占据优势。 在炼蛊方面，是方源占据优势";In terms of immortal essence, Giant Sun Immortal Venerable should have an advantage, in terms of Gu refinement, Fang Yuan has the advantage;"In terms of immortal essence, Giant Sun Immortal Venerable should have the advantage. In terms of refining Gu, Fang Yuan has the advantage."
Gemini;"那么对不起得很，两柄剑都到了做哥哥的家里啦";Then I am really very sorry, for both daggers would belong to my family then;"Then I'm very sorry, both swords have come to your elder brother's house."
Gemini;"方源，你怎么也想不到，会有今天吧";Fang Yuan, you had never in your wildest imagination, expect this day to occur right;"Fang Yuan, you never would have thought there would be a day like this, right?"
