ID,Arquitectura,Estado_Modelo,Tipo_Input,texto_raw,Texto_Input,Texto_Output,FIDELIDAD,CALIDAD,DOMINIO,ALUCINACION,Notas_Cualitativas
2,Llama 3,Fine-Tuned,Prompt 1,"""若是在平地之上，尺许小径又算得了甚么，可是这石梁下临深谷，别说行走，只望一眼也不免胆战心惊""","If this stone bridge were laid on the ground, it would act just like a narrow alley, nothing to be afraid of, but under the stone bridge was a deep canyon. Just looking at it would cause the heart to tremble with fear, let alone walk across it","If it were on a flat ground, a foot wide path would not be a problem, but this stone bridge was suspended high above a deep valley, not only walking on it was difficult, just looking down would make one heart tremble with fear",1.0,1.0,1.0,1.0,
2,Llama 3,Fine-Tuned,Prompt 2,"""黄蓉道""",Huang Rong said,Huang Rong said,,,,,
1,MBart,Fine-Tuned,Texto Origen,"""气海老祖，你我之间其实并没有什么大的矛盾，完全可以和平共处""","Qi Sea Ancestor, we do not have a huge grudge between us, we can coexist in peace","Qi Sea Ancestor, we actually don’thave any great conflict, we can live together peacefully",1.0,1.0,,,
1,MBart,Base,Texto Origen,"""若是在平地之上，尺许小径又算得了甚么，可是这石梁下临深谷，别说行走，只望一眼也不免胆战心惊""","If this stone bridge were laid on the ground, it would act just like a narrow alley, nothing to be afraid of, but under the stone bridge was a deep canyon. Just looking at it would cause the heart to tremble with fear, let alone walk across it","If it were on the plain, what could be counted as a short distance, but if the stone beam came down to the valley, let it not be said that it should go, and let it not be afraid of a glance",1.0,1.0,1.0,,"Gramaticalmente parece bien, pero no tiene sentido"
2,Llama 3,Base,Prompt 2,"""这就是将来，巨阳仙尊血道有成之后，可以吞并长生天，使得自身实力实现恐怖暴涨""","In the future, after Giant Sun I mmortal Venerable’sblood path cultivation reach ac ertain level, he could annex Longevity Heaven to raise his strength to at errifying level","This is the future, after the bloodline of Jùyáng Xiānzūn has reached its culmination, where it can engulf and prolong the lifespan of Tiānzhēng, thereby causing its own strength to skyrocket to a terrifying and explosive degree.",1.0,1.0,1.0,1.0,
2,Llama 3,Fine-Tuned,Prompt 1,"""那么对不起得很，两柄剑都到了做哥哥的家里啦""","Then I am really very sorry, for both daggers would belong to my family then","I am sorry, but the two swords are in my brother house",1.0,1.0,,,
1,MBart,Base,Texto Origen,"""方源面色仍旧冷漠，就算是道歉，都是一脸高傲的样子""","Fang Yuan had a cold expression, even when he apologized, he had an arrogant look","Their face was still cold, and even apologizing, they looked arrogant",1.0,1.0,1.0,1.0,Nombre??
1,MBart,Fine-Tuned,Texto Origen,"""在仙元方面，巨阳仙尊应当占据优势。 在炼蛊方面，是方源占据优势""","In terms of immortal essence, Giant Sun Immortal Venerable should have an advantage, in terms of Gu refinement, Fang Yuan has the advantage","In terms of immortal essence, Giant Sun Immortal Venerable should have the advantage, in terms of Gu refinement, Fang Yuan should have the advantage",1.0,1.0,1.0,1.0,
2,Llama 3,Base,Prompt 2,"""对那些徒手肉搏者，这些堪比钢铁般坚硬的木刺，将会给他们留下深刻的印象""","To those fighting barehanded, these thorns that were as sturdy as steel would leave a lasting impression on them","For those who engage in bare-handed combat, these wooden spikes as hard as steel will leave a profound impression on them",1.0,1.0,1.0,1.0,
1,MBart,Base,Texto Origen,"""在仙元方面，巨阳仙尊应当占据优势。 在炼蛊方面，是方源占据优势""","In terms of immortal essence, Giant Sun Immortal Venerable should have an advantage, in terms of Gu refinement, Fang Yuan has the advantage"," On the side of the yuan, the yuan should dominate the yuan. On the side of the yuan, the yuan should dominate the yuan",1.0,1.0,,,"Sigue la sintactica, pero no tiene sentido al leerlo"
1,MBart,Base,Texto Origen,"""大部分风刃则成功地绕过水莲，在后方重新汇聚，形成一个稍小的纠风，仍旧向那头荒级虚兽撞去""","But most of the wind blades dodged the water lotus and gathered together again, forming a smaller entangled wind, and charging towards the desolate level phantom beast","Most of the wind's blades successfully passed through the lotus, regrouping in the rear, forming a small wind-turn, still striking at the barren-level beast",1.0,1.0,11.0,1.0,en general todo bien
2,Llama 3,Base,Prompt 1,"""这落魄谷中，居然有盗天真传""",Luo Po valley actually has a Thieving Heaven true inheritance?,"In this Luogu Valley, there is surprisingly the true transmission of Tou Tian Zhen Chuan",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""嘴巴张得老大，露出一嘴齐整的牙齿，牙关紧闭""","The mouths opened up with jaws clenched, revealing a set of even teeth","His mouth was wide open, revealing a row of neat teeth, his jaws were tightly closed",1.0,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""大部分风刃则成功地绕过水莲，在后方重新汇聚，形成一个稍小的纠风，仍旧向那头荒级虚兽撞去""","But most of the wind blades dodged the water lotus and gathered together again, forming a smaller entangled wind, and charging towards the desolate level phantom beast","Most of the wind blades successfully dodged the water lotus and gathered behind it, forming a slightly smaller windstorm that charged towards the desolate beast",1.0,1.0,1.0,1.0,
2,Llama 3,Fine-Tuned,Prompt 1,"""苏秦背剑""",Reviving Qin Behind the Sword,Sword on the Back,,,,,Entiende el chenyu
2,Llama 3,Fine-Tuned,Prompt 2,"""提到弟弟丁言。 丁齐满脸悲伤愤怒""","Mentioning his brother, Ding Qi was extremely angry and upset","Mentioning his younger brother Ding Yan, Ding Qi’s face was filled with sadness and anger",1.0,,,,
2,Llama 3,Base,Prompt 1,"""智道三元要素，分别是念、意、情""","Wisdom path had three elements, thoughts, wills, and emotions","The three essential elements of Zhidao San Yuan are nian, yi, and qing.",1.0,1.0,11.0,1.0,
2,Llama 3,Base,Prompt 1,"""我全身发抖，冷得很""","I was shaking all over, I was very cold.","My whole body is trembling, and I'm extremely cold",,,,,
2,Llama 3,Base,Prompt 2,"""而现在，他只有将自身强悍到了极致后，才有把握，将那看似打不死的雷山，直接轰杀，一旦将其轰杀，白小纯就可以在无人追击中，彻底逃遁出去""","Right now, Bai Xiaochun knew that he had to become as powerful as he possibly could. He needed to cut down the seemingly unkillable Lei Shan, which would give them the oppor tunity to truly escape","Now, he only had confidence after pushing his physical strength to the extreme, and then he could directly blast to death the seemingly invincible Lei Shan, and once Lei Shan was killed, Bai Xiaochun could thoroughly escape without being pursued by anyone.",1.0,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""领队的武官叫道""",The leader shouted in response,The leader of the soldiers shouted,1.0,1.0,,,
2,Llama 3,Base,Prompt 2,"""嘴巴张得老大，露出一嘴齐整的牙齿，牙关紧闭""","The mouths opened up with jaws clenched, revealing a set of even teeth","His mouth was agape, revealing a set of neatly aligned teeth, with his gums tightly closed",1.0,1.0,,,
2,Llama 3,Base,Prompt 1,"""但此茶却是个例外，要一口气喝掉""","ut this tea was different, one had to gulp it in one mouthful","But this tea is an exception, to be drunk in one breath",1.0,1.0,1.0,,
2,Llama 3,Base,Prompt 2,"""常山yīn的过去，早已经成为一个关于英雄的传说，在北原大地上广为流传""","Chang Shan Yin's past was a heroic tale, it was widely spread in northern plains","The bygone era of Changshan's yīn had long since transformed into a legendary tale of heroism, widely disseminated across the vast expanse of Beiyuan Da Di",1.0,1.0,1.0,1.0,
2,Llama 3,Base,Prompt 2,"""领队的武官叫道""",The leader shouted in response,"he commander of the troops, Wuguan, shouted loudly, his voice carrying far and wide, as he led his men in pursuit of the fugitives, their armor glinting in the sunlight like a thousand shining scales, while the sound of drums and horns rose to a deafening crescendo, shaking the very heavens and striking fear into the hearts of all who heard it.",,,,,
2,Llama 3,Base,Prompt 2,"""立刻这上百药草形成的药液，骤然落下，在与这血湖碰触的瞬间，如同相互之间有强烈的排斥，直接爆发，燃烧成为黑色的火焰，覆盖整个血湖""","As they flew through the air, they transformed into a medicinal liquid. When that entered the blood lake, a powerful expulsion force erupted out, and the burning caused a black smoke to rise up and fill the area","In an instant, the medicinal liquid formed from the hundreds of medicinal herbs came pouring down, and the moment it came into contact with the Blood Lake, it was as if they had a strong mutual repulsion, directly erupting and burning into black flames that covered the entire Xiě Hú, shrouding it in an intense, dark inferno.",1.0,1.0,,,
2,Llama 3,Base,Prompt 1,"""虽然我并非黄金血脉。 参与王庭争霸，就是为了混迹到八十八角真阳楼中捞取好处""","Although I am not of the Huang Jin bloodline, I participated in the fight for Imperial Court to get some benefits from Eighty-Eight True Yang Building","Although I am not of noble birth, participating in the struggle for hegemony in the Wang Ting is just to blend in and take advantage of the opportunities in the eighty-eightth true Yang Lou",1.0,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""元始仙尊的复活之法，方源知晓其中一个""",Fang Yuan knew one of Primordial Origin Immortal Venerable’s revival methods,Fang Yuan knew one of the methods to revive Primordial Origin Immortal Venerable,1.0,1.0,1.0,1.0,
2,Llama 3,Fine-Tuned,Prompt 2,"""刚想到这里，陆畏因眼前忽然一黑""","While thinking of this, Lu Wei Yin’s vision suddenly turned dark","Just as he thought of this, Lu Wei Yin’s vision turned dark",1.0,1.0,1.0,1.0,
2,Llama 3,Base,Prompt 2,"""方源心中有明悟""",Fang Yuan comprehended inwardly,Fang Yuan's heart was filled with a profound understanding,1.0,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""大小姐，你不妨将此事交给我处理，我来找她谈，付出一些代价也无妨""","Missy, leave this to me, I will negotiate with her, it is okay if we pay a small price","Young miss, why don’t you let me handle this matter? I’ll talk to her and pay her some compensation",1.0,,,,
